match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.2,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.3,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.4,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.5,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,4,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,0.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.1,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.2,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.3,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,4,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,1.4,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
